segment_dim,segment_value,sample_n,noise_n,noise_share_pct,cleanliness_neg_n,cleanliness_neg_share_pct,city_noise_share_pct,city_cleanliness_neg_share_pct
stay_category,飯店類,5944,339,5.70,184,3.10,4.93,2.44
district,南港區,916,29,3.17,22,2.40,4.93,2.44
price_band,<=1500,27931,1717,6.15,743,2.66,4.93,2.44
